gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
Q0020,2846.323,-2.302744,0.45635148,2.566579e-8,1.602344e-7
Q0050,97393.6,-2.984874,0.2805931,7.808072e-29,1.5008059999999998e-26
Q0055,9176.751,-1.730134,0.37865274,1.21013e-6,5.606908e-6
Q0060,1104.39,-1.085074,0.29215603,0.00012035400000000001,3.84975e-4
Q0085,107.7831,-2.400888,0.44700165,3.277963e-9,2.398168e-8
Q0158,122130.6,-2.817044,0.30808081,5.282399e-22,3.490235e-20
Q0250,47.40476,-1.040182,0.30790089,4.446636e-4,0.001270496
YAL008W,69.48535,-1.714238,0.33204665,6.458366e-8,3.724129e-7
YAL010C,17.28728,-1.775104,0.42395317,6.134515e-6,2.48634e-5
YAL016W,194.7224,-1.518591,0.31199925,4.102089e-7,2.074924e-6
YAL028W,51.21559,-1.115922,0.25214995,5.606046e-6,2.291182e-5
YAL034C,82.95345,-1.231959,0.52553026,0.008385446,0.01786558
YAL049C,38.99791,-1.374494,0.34027275,2.290486e-5,8.302031e-5
YAL054C,64.18256,-1.708468,0.57578795,6.044212e-4,0.001679301
YAL056W,158.0237,-1.489644,0.27686678,2.865492e-8,1.76312e-7
YAL060W,225.1576,-2.914329,0.51931334,1.156212e-10,1.078508e-9
YAL061W,146.7188,-3.0554,0.5280445,2.452858e-11,2.614871e-10
YAL062W,51.9776,-2.345945,0.49975106,1.252887e-7,6.910487e-7
YAL063C,189.8724,-2.216218,0.48901476,4.1128e-7,2.078684e-6
YAL065C,94.14755,-1.36043,0.52347418,0.003499161,0.008175178
YAR023C,28.43356,-1.888447,0.37206123,7.116766e-8,4.076019e-7
YAR028W,7.697774,-1.399846,0.69551733,0.01259144,0.02562319
YAR031W,10.62299,-1.737811,0.73864894,0.002701204,0.006484641
YAR035W,43.35165,-2.661166,0.47899811,4.338519e-10,3.693856e-9
YAR050W,372.2482,-1.999835,0.44827095,1.07001e-6,5.020023e-6
YAR061W,94.53537,-3.581417,0.4911596,2.239411e-16,5.677181e-15
YBL003C,167.2104,-1.945513,0.31312238,9.003262e-11,8.561873e-10
YBL013W,16.05201,-1.999341,0.45148252,1.242545e-6,5.740321e-6
YBL015W,163.0722,-3.101773,0.34234546,3.100062e-22,2.124004e-20
YBL029C-A,40.72234,-1.051896,0.48978997,0.01748535,0.03425248
YBL030C,129.8992,-2.436793,0.31011645,1.687483e-16,4.351099e-15
YBL037W,81.91718,-1.085405,0.23227125,1.788876e-6,7.979493e-6
YBL039W-B,159.398,-1.359434,0.30896112,4.80166e-6,1.981583e-5
YBL043W,20.50997,-1.980395,0.52373946,1.923387e-5,7.084809e-5
YBL044W,4.064551,-1.257752,0.57162915,0.01133177,0.02333682
YBL045C,132.0105,-2.907641,0.29895517,1.335475e-24,1.283473e-22
YBL049W,33.45159,-1.905245,0.53527192,5.336395e-5,1.812032e-4
YBL055C,24.16985,-1.110215,0.4166088,0.004182846,0.009602531
YBL064C,447.5942,-1.74976,0.31888661,1.03128e-8,6.96636e-8
YBL086C,231.3236,-1.090782,0.54689348,0.02342239,0.04445488
YBL089W,72.80439,-1.691955,0.23240851,9.862522e-14,1.612319e-12
YBL098W,65.94447,-1.911328,0.37739198,7.149289e-8,4.081776e-7
YBL111C,32.60253,-3.909818,1.00643161,1.050506e-7,5.83993e-7
YBR004C,116.1163,-1.278997,0.30573887,1.396029e-5,5.286574e-5
YBR005W,18.67795,-2.216091,0.54143967,2.775043e-6,1.19094e-5
YBR006W,56.55904,-2.823292,0.45130285,3.277501e-12,4.076312e-11
YBR009C,132.685,-3.214108,0.53834047,4.708766e-12,5.646069e-11
YBR010W,134.1459,-2.591476,0.40961988,5.457667e-12,6.482768e-11
YBR013C,31.92051,-1.068375,0.35531256,0.00153902,0.003907927
YBR016W,213.9299,-1.08755,0.32250911,4.336223e-4,0.001242306
YBR022W,30.29158,-1.877664,0.38279058,1.737761e-7,9.396947e-7
YBR033W,82.76738,-1.272434,0.31332955,2.381049e-5,8.625354e-5
YBR037C,79.69064,-1.335271,0.28831395,1.676157e-6,7.54568e-6
YBR039W,123.4841,-2.94155,0.38984764,2.246527e-16,5.677181e-15
YBR046C,79.50087,-1.214999,0.32403566,9.110096e-5,2.967917e-4
