gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YNCJ0021C,58.65872,20.84344,4.1926176,6.584422e-8,3.789926e-7
YNCK0002C,44.81332,1.138201,0.51497516,0.01339187,0.02702662
YNCK0009W,241.8896,1.199984,0.56115454,0.01438146,0.02876745
YNCL0009C,14.91683,1.018394,2.99955072,0.008202921,0.01750711
YNCM0005C,34.70122,1.28402,0.4584782,0.002228412,0.005449044
YNCM0017W,44.23259,1.548371,0.31521823,3.128633e-7,1.606876e-6
YNCN0010C,19.64874,17.01673,5.90070631,2.332409e-6,1.016802e-5
YNCN0017W,18.95121,3.637113,7.09455018,6.770765e-4,0.001855962
YNCP0001C,39.10949,18.32365,3.28751643,5.998299e-9,4.254852e-8
YNL002C,476.0528,1.792463,0.27246742,1.152753e-11,1.31557e-10
YNL022C,61.42784,1.3506880000000001,0.28328232,8.458901e-7,4.04942e-6
YNL058C,558.9323,3.121617,0.26732596,3.381168e-34,1.128776e-31
YNL061W,405.9031,2.007041,0.33838869,4.434577e-10,3.770579e-9
YNL064C,256.5567,1.61815,0.20144237,3.204473e-16,7.878284e-15
YNL068C,78.61088,1.488531,0.21877963,4.058448e-12,4.96964e-11
YNL069C,134.108,1.940652,0.31668455,1.554599e-10,1.427037e-9
YNL082W,138.0678,1.375543,0.26083286,5.980108e-8,3.470432e-7
YNL087W,155.2634,1.55922,0.17717089,5.026039e-19,2.0567850000000003e-17
YNL088W,1289.291,1.840175,0.17353761,6.756675999999999e-27,8.746448000000001e-25
YNL102W,270.2271,2.276423,0.36396217,2.768029e-11,2.931153e-10
YNL110C,345.1082,1.61459,0.3331539,3.908391e-7,1.986452e-6
YNL112W,77.49318,1.56877,0.46040756,1.940889e-4,5.979144e-4
YNL113W,121.7373,2.124261,0.3790009,2.193969e-9,1.660662e-8
YNL123W,112.1576,1.154843,0.17634624,3.351272e-11,3.501996e-10
YNL132W,325.6754,1.976694,0.27192743,6.080146e-14,1.020274e-12
YNL141W,39.9797,1.305824,0.51679966,0.004656077,0.01054768
YNL143C,11.45716,1.521066,0.53078232,0.001224108,0.003184789
